episode,seed,steps,sim_dt,touches_head,touches_torso,touches_arm,touches_hand,touches_leg,touches_foot,total_touches,touches_per_min
1,2,1000,0.005,970,1672,2882,2969,0,1928,10421,125052.0
2,2,1000,0.005,990,1966,2872,2602,1252,1487,11169,134028.0
3,2,1000,0.005,984,2312,2901,2966,698,1047,10908,130896.0
4,2,1000,0.005,991,1022,2858,2955,1628,915,10369,124428.0
5,2,1000,0.005,980,1454,2760,3047,448,1834,10523,126276.0
6,2,1000,0.005,974,1596,2887,2957,0,1924,10338,124056.0
7,2,1000,0.005,956,1065,2772,3067,0,1923,9783,117396.0
8,2,1000,0.005,976,1006,2887,2837,18,862,8586,103032.0
9,2,1000,0.005,976,1426,2837,2995,1102,1710,11046,132552.0
10,2,1000,0.005,961,1482,2845,2958,1554,1048,10848,130176.0
